txid,ordertxid,pair,aclass,time,type,ordertype,price,cost,fee,vol,margin,misc,ledgers,posttxid,posstatuscode,cprice,ccost,cfee,cvol,cmargin,net,trades
TOVZPD-LICAQ-RKHCOY,OSUO7S-VQA6I-UMBTNV,BTC/EUR,forex,01:25.6,buy,limit,39500,150.39309,0.24063,0.00380742,0,,"LL3V36-UHUCR-PVO6IT,L5YJF7-5KDU7-6TPZ43",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TJEFEA-3M54W-2WW3JR,OGLAQK-ZXDYL-U42EQP,BTC/EUR,forex,03:51.0,buy,limit,39500,149.99967,0.24,0.00379746,0,,"LGHIWN-Z6FRY-6LQDBX,LQUJJ4-WEL5A-SINNMY",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TVZVKC-ZAQHC-SR4RI4,OBG7UK-EPB5M-AJMPL7,BTC/EUR,forex,51:20.0,buy,limit,46313.9,144.73094,0.3763,0.003125,0,initiated,"L2PZOB-NJZWL-527F6N,LAEMNQ-4BSBM-XJP5SY",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TFDR6Z-GEGQN-CUFOTY,OSGLVY-4REDY-GIAWU3,BTC/EUR,forex,53:12.6,sell,limit,46333.2,21.222,0.05518,0.00045803,0,initiated,"LPY4ZC-2EDUT-5I5NGJ,L4IEUT-YJP7H-MOPXMU",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TBGLWU-LKUAY-FUBDDN,OSGLVY-4REDY-GIAWU3,BTC/EUR,forex,53:17.3,sell,limit,46330.5,128.77887,0.20605,0.00277957,0,,"LVEFY5-C3AFE-U63XDB,LZKLTL-GYL3V-3PQLO5",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TEIZLW-6MERF-WVQLGE,OGBZVY-BDDYU-6WY33D,BTC/EUR,forex,35:03.4,buy,limit,47300.5,149.99982,0.24,0.00317121,0,,"LOY7FL-BC36E-SCGFBG,LVCFD2-IF2BM-2DYRVY",TKH2SE-M7IF5-CFI7LT,,,,,,,,
T5BWWM-Y4LUC-AHPNY7,O7E3QM-ENPS7-7VJYRQ,ETH/EUR,forex,41:27.6,buy,limit,2719.91,149.92337,0.3898,0.05512071,0,initiated,"L2XE7L-SJGVV-OOXEZE,LHPVWB-DKZOV-2KKRJD",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TINCRX-YASYR-VSAXRO,OU3QCW-6TDMX-ARC4DY,BTC/EUR,forex,44:11.5,buy,limit,61109.9,74.99346,0.19498,0.00122719,0,initiated,"LI6HXX-NLIG2-IBM2LW,L6HHJ6-UFMDD-XIALF2",TKH2SE-M7IF5-CFI7LT,,,,,,,,
T3HNXK-OEEXH-M6JVKC,OBDZGG-DN354-G6J6WA,ETH/EUR,forex,45:23.1,buy,limit,3279.68,74.97437,0.19493,0.02286027,0,initiated,"LRXE4F-5YRZU-ORVLIE,LA23AV-NX4CF-7X5CLA",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TJQOPA-JIKRI-23V2FS,OKPPE2-ZTXIL-YVCBZC,ETH/EUR,forex,26:34.5,buy,limit,3275,89.8116,0.1437,0.02742339,0,,"LF2V2P-HERNJ-TOBF3Q,LWXVAQ-QGJEY-7UGRNB",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TZF75I-RAYNZ-7GNRBS,OKPPE2-ZTXIL-YVCBZC,ETH/EUR,forex,26:34.7,buy,limit,3275,60.18838,0.0963,0.01837813,0,,"LK45LW-CQMDZ-EVJNBU,L7KY6L-R3O3B-IAX3PY",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TDSLGO-JGEKG-PMMFH4,OJGBEZ-663V6-KHRUMW,ETH/EUR,forex,26:17.7,buy,limit,3545.09,119.99998,0.192,0.03384963,0,,"LNMKXD-GQ7CU-6UPHB2,L6DQJE-BO4DZ-3TNFFE",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TQX2SN-NSD5M-I7IOVY,OA37ML-SKWM2-MCOR4K,BTC/EUR,forex,33:53.7,buy,limit,61578.8,11.13899,0.01782,0.00018089,0,,"L2KNZK-7A2W2-QATAQN,L7SLPZ-BQ6T5-UF5SRO",TKH2SE-M7IF5-CFI7LT,,,,,,,,
T4XCQA-W32X6-77YAHF,OA37ML-SKWM2-MCOR4K,BTC/EUR,forex,33:54.7,buy,limit,61578.8,48.69467,0.07791,0.00079077,0,,"LPC2FO-F5MEB-QYE7N4,LFELI3-BU3VT-PT7TVP",TKH2SE-M7IF5-CFI7LT,,,,,,,,
T7LOKZ-5U2Q7-5CCY2L,OZJYG2-UGDCJ-7X25ZI,ETH/EUR,forex,44:07.9,buy,limit,3450.09,120,0.192,0.0347817,0,,"LVUZCI-XXWFO-C5SYPD,LUDX7H-VB4F7-TSWPFE",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TXXJHM-HQR6L-IJZEGU,OIU7MU-G5SQ4-5I3HYA,ETH/BTC,forex,06:11.6,buy,limit,0.05204,0.00806,0.000012896,0.15488086,0,,"L4IBM2-4NTJT-WJA4SU,LCNV4N-JBIB7-WYSIPD",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TKQGE5-HARGY-WFCYDU,O7RVNN-UUNEU-D7YKH3,ETH/EUR,forex,46:18.9,buy,limit,3349.01,100,0.25,0.02985957,0,,"LGTQFV-IJVA6-Q34POW,L6YMQU-4QZGX-WZY4PQ",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TVRVMO-REEUN-5KIUUD,ORX2NV-7H4DU-A5K5U3,BTC/EUR,forex,47:37.0,buy,limit,66710.9,49.99982,0.125,0.0007495,0,,"LW72MT-T2BK4-VLJNKC,LM4LCJ-T3G4A-IBZIZM",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TUI7GZ-3ZY25-6UQGDT,OCDHP2-JDFQG-J3O4VP,ETH/EUR,forex,28:38.1,buy,limit,3100,99.75068,0.24938,0.03217764,0,,"LW33DI-3N3W5-6P3COH,LDWM5V-4MATW-7MN3CE",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TG6DIU-J3JNO-VR64PY,OZSX33-QQEN5-QMROV7,BTC/EUR,forex,33:09.0,buy,limit,62500,50,0.125,0.0008,0,,"LHHGMU-YMTLB-GQCRYJ,LS35RG-5IMRF-UXUKFW",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TGU5AD-4MOLN-WLDDOF,OUBJ5A-AK7OH-M7IS3L,AAVE/EUR,forex,07:56.4,sell,limit,85.52,145.384,0.36346,1.7,0,,"LEU4JA-4EFV6-6OOJXE,LJFQDF-NLCDJ-WXHG3G",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TAYLCR-CJGYT-SGDANN,OUBJ5A-AK7OH-M7IS3L,AAVE/EUR,forex,08:13.4,sell,limit,85.52,191.71923,0.4793,2.2418058,0,,"LOTWJ7-XK5LH-P4JATW,L75GNB-RE6MH-T3Y3H7",TKH2SE-M7IF5-CFI7LT,,,,,,,,
T2FA2W-KSWKC-TCZQJH,OFNRXQ-HROT3-XB2SPP,LINK/EUR,forex,09:21.2,sell,limit,13.23614,498.106281,1.245266,37.63229169,0,,"LS3SJI-E2RMG-DSBILA,L7WPVN-Y5LV7-2F56VG",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TK3YSC-3B3VE-RD3NNM,ODGJMP-5OXB6-NQFHY4,COMP/EUR,forex,10:01.9,sell,limit,53.22,266.1,0.6653,5,0,,"L7JAFI-WUD6L-H37FZN,LM5VSR-TT624-7Y7HF6",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TICLBG-NCNNQ-7FWLMK,OUJKZ3-SIUGF-NOYZ4N,ETH/USDT,forex,24:46.2,sell,limit,3311.2,677.34324,1.69336,0.20456126,0,,"L274LJ-JHZJB-7JBJMJ,LLQ5JJ-YUX6W-BWMMO3",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TGRA7A-5ATCX-FL7XUZ,OJTCU5-LHXTP-4GXYK4,MKR/EUR,forex,31:19.1,sell,limit,2861.5,625.25309,1.56313,0.21850536,0,,"LZ6JST-ZMDVU-2ZCSYY,LM7GV7-F6YF3-OWNTOO",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TYNXYN-P5XRT-3NYHRI,OJTCU5-LHXTP-4GXYK4,MKR/EUR,forex,31:20.9,sell,limit,2861.5,14.01691,0.03504,0.00489845,0,,"LDOWRS-HIFH7-QROS3C,LJ7NZP-CF6CI-W2WXJH",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TP5EB6-MKHVI-5HVC7P,ODGJMP-5OXB6-NQFHY4,COMP/EUR,forex,34:07.0,sell,limit,53.22,87.8749,0.2197,1.65116279,0,,"LGD47D-MU3ST-74ZR37,LQQDBT-VAR5T-2VY6JR",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TVCLA4-3IDFJ-B6HD4F,OUTEQR-MPFNV-BHGEH2,BTC/USDT,forex,03:03.3,sell,limit,63652.8,2214.68651,5.53672,0.03479323,0,,"LZC2KB-TAFDJ-2PG4FH,LEZWHK-XJYJH-NRF6AV",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TZTYX6-V43IQ-H2P3XL,OZL3IP-ABBTY-332R74,DOGE/EUR,forex,45:43.7,buy,limit,0.1918,575.4,1.4385,3000,0,,"LYYIHR-4VSEE-APYVNJ,LJHZNN-ZEMYH-FN2IDW",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TKTTIB-LVNSQ-BJO2QA,OW2LDM-KKM3S-TQVCXP,ETH/EUR,forex,10:17.7,buy,limit,2834.5,850.35,2.12588,0.3,0,,"LWNEK6-2T5WQ-PPOXLF,L2VVDW-XD32E-QDTGKJ",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TC36PT-YAREQ-OHKF5X,OQD6BH-RUYJF-RQFS2X,SOL/EUR,forex,17:50.3,buy,limit,184,368,0.92,2,0,,"LVJSLD-4MK4O-FU2QPO,LY6HMY-2DG7Y-OYPG3R",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TEBDC6-RCMNL-7D2TQL,OCNBGD-3EJK2-V454K5,ENA/EUR,forex,12:06.7,buy,limit,0.475,251.4975185,0.6287438,529.46846,0,,"L66YYO-X54SO-JVHELB,LRY64E-RLCCI-ZKE6DH",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TPWGQI-2UQGZ-SNZJ5I,OCNBGD-3EJK2-V454K5,ENA/EUR,forex,12:06.8,buy,limit,0.475,77.755676,0.19438919,163.69616,0,,"LHMYGR-RK4PW-GRLNUW,LAMCYK-MJ77M-IILWT3",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TEWGEV-J2CTE-TOCBLT,OLSV36-CC45T-HMUOCW,DOGE/USDT,forex,04:40.8,sell,limit,0.37952,1053.168,2.63292,2775,0,,"LSHOPH-TJUYQ-X3HFC2,LMGHPB-YLLXQ-7BYBC3",TKH2SE-M7IF5-CFI7LT,,,,,,,,
T54KVM-OIZLO-OAGJG6,OSE5YS-AQICP-QPKMHI,ENA/EUR,forex,15:46.0,sell,limit,0.9852,334.9999993,0.8375,340.03248,0,,"LLU4HO-6MVHS-QSYQJR,LYLRPH-TIVON-IRMVZE",TKH2SE-M7IF5-CFI7LT,,,,,,,,
ID,e,ENA/EUR,e,15:46.0,sell,limit,0.1,2,2,200,0,n,e,e,e,,,,,,,
